Filename,Sudoku Number,Clues Given,Time to Complete (ns),Difficulty Level
9x9,1,36,34.936499999999995,easy
9x9,2,27,3.768,easy
9x9,3,25,7.8881,easy
9x9,4,26,8.603,easy
9x9,5,26,7.5093,easy
9x9,6,27,5.4208,easy
9x9,7,25,5.7257,easy
9x9,8,24,5.4162,easy
9x9,9,27,5.7816,easy
9x9,10,26,4.9962,easy
9x9,1,24,1.2411999999999999,expert
9x9,2,25,1.2225,expert
9x9,3,23,1.4506,expert
9x9,4,24,1.2383,expert
9x9,5,23,1.4147999999999998,expert
9x9,6,24,1.3789,expert
9x9,1,25,4.7827,hard
9x9,2,24,1.7642,hard
9x9,3,24,1.3899,hard
9x9,4,25,1.3159999999999998,hard
9x9,5,25,1.302,hard
9x9,1,23,1.1131,medium
9x9,2,24,1.0838999999999999,medium
9x9,3,24,1.2254,medium
9x9,4,23,1.4137,medium
9x9,5,26,1.2455,medium
9x9,6,25,1.1949999999999998,medium
9x9,7,25,0.739,medium
9x9,8,26,1.2115,medium
9x9,9,25,1.2065,medium
9x9,10,25,1.4442,medium
