Level, Index, Time, Algorithms
expert,152,0.015881,Backtrack Algorithm
expert,153,0.015423,Backtrack Algorithm
expert,154,0.024571,Backtrack Algorithm
expert,155,0.002972,Backtrack Algorithm
expert,156,0.027032,Backtrack Algorithm
expert,157,0.000594,Backtrack Algorithm
expert,158,0.034325,Backtrack Algorithm
expert,159,0.009641,Backtrack Algorithm
expert,160,0.076353,Backtrack Algorithm
expert,161,0.006770,Backtrack Algorithm
expert,162,0.002000,Backtrack Algorithm
expert,163,0.096449,Backtrack Algorithm
expert,164,0.021165,Backtrack Algorithm
expert,165,0.001273,Backtrack Algorithm
expert,166,0.011337,Backtrack Algorithm
expert,167,0.008125,Backtrack Algorithm
expert,168,0.013565,Backtrack Algorithm
expert,169,0.227509,Backtrack Algorithm
expert,170,0.008841,Backtrack Algorithm
expert,171,0.040069,Backtrack Algorithm
expert,172,0.016287,Backtrack Algorithm
expert,173,0.005098,Backtrack Algorithm
expert,174,0.041494,Backtrack Algorithm
expert,175,0.012072,Backtrack Algorithm
expert,176,0.000573,Backtrack Algorithm
expert,177,0.043695,Backtrack Algorithm
expert,178,0.004408,Backtrack Algorithm
expert,179,0.112959,Backtrack Algorithm
expert,180,0.030634,Backtrack Algorithm
expert,181,0.033152,Backtrack Algorithm
expert,182,0.084043,Backtrack Algorithm
expert,183,0.004957,Backtrack Algorithm
expert,184,0.020801,Backtrack Algorithm
expert,185,0.000105,Backtrack Algorithm
expert,186,0.047550,Backtrack Algorithm
expert,187,0.956306,Backtrack Algorithm
expert,188,0.004594,Backtrack Algorithm
expert,189,0.142349,Backtrack Algorithm
expert,190,0.069249,Backtrack Algorithm
expert,191,0.138221,Backtrack Algorithm
expert,192,0.014705,Backtrack Algorithm
expert,193,0.011854,Backtrack Algorithm
expert,194,0.000146,Backtrack Algorithm
expert,195,0.000979,Backtrack Algorithm
expert,196,0.396718,Backtrack Algorithm
expert,197,0.004063,Backtrack Algorithm
expert,198,0.005860,Backtrack Algorithm
expert,199,0.014978,Backtrack Algorithm
expert,200,0.005368,Backtrack Algorithm
expert,201,0.019546,Backtrack Algorithm
expert,202,0.007089,Backtrack Algorithm
expert,203,0.010886,Backtrack Algorithm
expert,204,0.035992,Backtrack Algorithm
expert,205,0.012443,Backtrack Algorithm
expert,206,0.002323,Backtrack Algorithm
expert,207,0.023619,Backtrack Algorithm
expert,208,0.008867,Backtrack Algorithm
expert,209,0.012821,Backtrack Algorithm
expert,210,0.089425,Backtrack Algorithm
expert,211,0.010385,Backtrack Algorithm
expert,212,0.006359,Backtrack Algorithm
expert,213,0.123276,Backtrack Algorithm
expert,214,0.001817,Backtrack Algorithm
expert,215,0.093497,Backtrack Algorithm
expert,216,0.000708,Backtrack Algorithm
expert,217,0.000679,Backtrack Algorithm
expert,218,0.000239,Backtrack Algorithm
expert,219,0.000942,Backtrack Algorithm
expert,220,0.003594,Backtrack Algorithm
expert,221,0.029169,Backtrack Algorithm
expert,222,0.005178,Backtrack Algorithm
expert,223,0.066606,Backtrack Algorithm
expert,224,0.000432,Backtrack Algorithm
expert,225,0.009527,Backtrack Algorithm
expert,226,0.001448,Backtrack Algorithm
expert,227,0.008512,Backtrack Algorithm
expert,228,0.017163,Backtrack Algorithm
expert,229,0.033938,Backtrack Algorithm
expert,230,0.001955,Backtrack Algorithm
expert,231,0.031425,Backtrack Algorithm
expert,232,0.004319,Backtrack Algorithm
expert,233,0.016559,Backtrack Algorithm
expert,234,0.023970,Backtrack Algorithm
expert,235,0.011084,Backtrack Algorithm
expert,236,0.081783,Backtrack Algorithm
expert,237,0.112444,Backtrack Algorithm
expert,238,0.003181,Backtrack Algorithm
expert,239,0.001958,Backtrack Algorithm
expert,240,0.007312,Backtrack Algorithm
expert,241,0.004961,Backtrack Algorithm
expert,242,0.022286,Backtrack Algorithm
expert,243,0.000134,Backtrack Algorithm
expert,244,0.003374,Backtrack Algorithm
expert,245,0.044154,Backtrack Algorithm
expert,246,0.004081,Backtrack Algorithm
expert,247,0.015214,Backtrack Algorithm
expert,248,0.000937,Backtrack Algorithm
expert,249,0.003786,Backtrack Algorithm
expert,250,0.004645,Backtrack Algorithm
expert,251,0.002435,Backtrack Algorithm
expert,252,0.006729,Backtrack Algorithm
expert,253,0.002108,Backtrack Algorithm
expert,254,0.001997,Backtrack Algorithm
expert,255,0.002166,Backtrack Algorithm
expert,256,0.163095,Backtrack Algorithm
expert,257,0.013370,Backtrack Algorithm
expert,258,0.001521,Backtrack Algorithm
expert,259,0.001266,Backtrack Algorithm
expert,260,0.012907,Backtrack Algorithm
expert,261,0.000191,Backtrack Algorithm
expert,262,0.024064,Backtrack Algorithm
expert,263,0.090418,Backtrack Algorithm
expert,264,0.000599,Backtrack Algorithm
expert,265,0.022082,Backtrack Algorithm
expert,266,0.001622,Backtrack Algorithm
expert,267,0.002115,Backtrack Algorithm
expert,268,0.000133,Backtrack Algorithm
expert,269,0.032917,Backtrack Algorithm
expert,270,0.013952,Backtrack Algorithm
expert,271,0.000292,Backtrack Algorithm
expert,272,0.013347,Backtrack Algorithm
expert,273,0.000235,Backtrack Algorithm
expert,274,0.004131,Backtrack Algorithm
expert,275,0.006505,Backtrack Algorithm
expert,276,0.039185,Backtrack Algorithm
expert,277,0.000731,Backtrack Algorithm
expert,278,0.006216,Backtrack Algorithm
expert,279,0.008777,Backtrack Algorithm
expert,280,0.004651,Backtrack Algorithm
expert,281,0.003479,Backtrack Algorithm
expert,282,0.044816,Backtrack Algorithm
expert,283,0.045682,Backtrack Algorithm
expert,284,0.019353,Backtrack Algorithm
expert,285,0.051350,Backtrack Algorithm
expert,286,0.040276,Backtrack Algorithm
expert,287,0.013961,Backtrack Algorithm
expert,288,0.014720,Backtrack Algorithm
expert,289,0.001265,Backtrack Algorithm
expert,290,0.004062,Backtrack Algorithm
expert,291,0.006470,Backtrack Algorithm
expert,292,0.098751,Backtrack Algorithm
expert,293,0.303128,Backtrack Algorithm
expert,294,0.001828,Backtrack Algorithm
expert,295,16.501402,Backtrack Algorithm
expert,296,0.011640,Backtrack Algorithm
expert,297,0.001010,Backtrack Algorithm
expert,298,0.013663,Backtrack Algorithm
expert,299,0.060625,Backtrack Algorithm
expert,300,0.007209,Backtrack Algorithm
expert,301,0.008448,Backtrack Algorithm
expert,302,0.074902,Backtrack Algorithm
expert,303,0.005932,Backtrack Algorithm
expert,304,0.043869,Backtrack Algorithm
expert,305,0.001469,Backtrack Algorithm
expert,306,0.007468,Backtrack Algorithm
expert,307,0.001677,Backtrack Algorithm
expert,308,0.166157,Backtrack Algorithm
expert,309,0.005344,Backtrack Algorithm
expert,310,0.003341,Backtrack Algorithm
expert,311,0.905727,Backtrack Algorithm
expert,312,0.001766,Backtrack Algorithm
expert,313,0.008633,Backtrack Algorithm
expert,314,0.003453,Backtrack Algorithm
expert,315,0.002492,Backtrack Algorithm
expert,316,0.017469,Backtrack Algorithm
expert,317,0.001213,Backtrack Algorithm
expert,318,0.005975,Backtrack Algorithm
expert,319,0.247849,Backtrack Algorithm
expert,320,0.001413,Backtrack Algorithm
expert,321,0.009902,Backtrack Algorithm
expert,322,0.353406,Backtrack Algorithm
expert,323,0.894426,Backtrack Algorithm
expert,324,0.000106,Backtrack Algorithm
expert,325,0.006162,Backtrack Algorithm
expert,326,0.003053,Backtrack Algorithm
expert,327,0.001113,Backtrack Algorithm
expert,328,0.004263,Backtrack Algorithm
expert,329,2.399901,Backtrack Algorithm
expert,330,2.467024,Backtrack Algorithm
expert,331,0.211787,Backtrack Algorithm
expert,332,0.002033,Backtrack Algorithm
expert,333,0.036727,Backtrack Algorithm
expert,334,0.020886,Backtrack Algorithm
expert,335,0.005846,Backtrack Algorithm
expert,336,0.030982,Backtrack Algorithm
expert,337,0.018293,Backtrack Algorithm
expert,338,0.007303,Backtrack Algorithm
expert,339,0.041880,Backtrack Algorithm
expert,340,0.002637,Backtrack Algorithm
expert,341,0.004074,Backtrack Algorithm
expert,342,0.003183,Backtrack Algorithm
expert,343,0.060964,Backtrack Algorithm
expert,344,0.023713,Backtrack Algorithm
expert,345,0.037269,Backtrack Algorithm
expert,346,0.003162,Backtrack Algorithm
expert,347,0.093736,Backtrack Algorithm
expert,348,0.133486,Backtrack Algorithm
expert,349,0.016241,Backtrack Algorithm
expert,350,0.003449,Backtrack Algorithm
expert,351,0.024587,Backtrack Algorithm
expert,352,0.031988,Backtrack Algorithm
expert,353,0.103874,Backtrack Algorithm
expert,354,0.000407,Backtrack Algorithm
expert,355,0.004276,Backtrack Algorithm
expert,356,0.002872,Backtrack Algorithm
expert,357,0.007374,Backtrack Algorithm
expert,358,0.017934,Backtrack Algorithm
expert,359,0.015411,Backtrack Algorithm
expert,360,0.003468,Backtrack Algorithm
expert,361,0.002501,Backtrack Algorithm
expert,362,0.078235,Backtrack Algorithm
expert,363,0.006112,Backtrack Algorithm
expert,364,0.003401,Backtrack Algorithm
expert,365,0.006778,Backtrack Algorithm
expert,366,0.000659,Backtrack Algorithm
expert,367,0.000042,Backtrack Algorithm
expert,368,0.000418,Backtrack Algorithm
expert,369,0.001347,Backtrack Algorithm
expert,370,0.022637,Backtrack Algorithm
expert,371,0.008749,Backtrack Algorithm
expert,372,0.057550,Backtrack Algorithm
expert,373,0.010396,Backtrack Algorithm
expert,374,0.006375,Backtrack Algorithm
expert,375,0.012233,Backtrack Algorithm
expert,376,0.001947,Backtrack Algorithm
expert,377,0.000964,Backtrack Algorithm
expert,378,0.308604,Backtrack Algorithm
expert,379,0.023026,Backtrack Algorithm
expert,380,0.012334,Backtrack Algorithm
expert,381,0.003004,Backtrack Algorithm
expert,382,0.439953,Backtrack Algorithm
expert,383,0.019350,Backtrack Algorithm
expert,384,0.002637,Backtrack Algorithm
expert,385,0.023852,Backtrack Algorithm
expert,386,0.015916,Backtrack Algorithm
expert,387,0.010748,Backtrack Algorithm
expert,388,0.001153,Backtrack Algorithm
expert,389,0.005760,Backtrack Algorithm
expert,390,0.001146,Backtrack Algorithm
expert,391,0.000705,Backtrack Algorithm
expert,392,0.000074,Backtrack Algorithm
expert,393,0.010862,Backtrack Algorithm
expert,394,0.016368,Backtrack Algorithm
expert,395,0.001656,Backtrack Algorithm
expert,396,0.003484,Backtrack Algorithm
expert,397,0.007032,Backtrack Algorithm
expert,398,0.006206,Backtrack Algorithm
expert,399,0.016625,Backtrack Algorithm
expert,400,0.003243,Backtrack Algorithm
