Filename,Sudoku Number,Clues Given,Time to Complete (ns),Difficulty Level
16x16,1,93,15.623199999999999,easy
16x16,2,96,18.7743,easy
16x16,3,97,10.705599999999999,easy
16x16,4,100,10.6055,easy
16x16,5,97,14.5253,easy
16x16,6,98,14.999799999999999,easy
16x16,7,91,12.8202,easy
16x16,8,97,19.9197,easy
16x16,9,99,8.3027,easy
16x16,10,100,9.5739,easy
16x16,1,91,29.695,expert
16x16,2,97,238.6291,expert
16x16,3,92,28.404,expert
16x16,4,92,52.823899999999995,expert
16x16,5,112,12.4672,expert
16x16,1,93,27.107599999999998,hard
16x16,2,94,10.023399999999999,hard
16x16,3,93,16.433999999999997,hard
16x16,4,94,223.56619999999998,hard
16x16,5,92,33.2556,hard
16x16,1,95,8.6701,medium
16x16,2,91,9.8829,medium
16x16,3,93,9.7663,medium
16x16,4,92,10.129299999999999,medium
16x16,5,93,10.9261,medium
16x16,6,94,11.124699999999999,medium
16x16,7,97,7.463,medium
16x16,8,91,7.8637,medium
16x16,9,92,8.0976,medium
16x16,10,95,7.1193,medium
